cuenca,subcuenca,x1,estacion,nivel,x2,x3,dt
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-04 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-10 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-11 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-12 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-13 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-14 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-15 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-16 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-17 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-18 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-19 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-20 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,3,,,2000-03-21 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-22 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-23 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,36,,,2000-03-24 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-25 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-26 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,15,,,2000-03-27 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,4,,,2000-03-28 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-29 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-30 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-03-31 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-01 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-02 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-04 07:00:00
